副本ID	对话ID	模型ID	模型位置	名称	对话内容	对话节点	怪物id	跳过剧情	对话时长	音频文件	动作ID	模型缩放	
1061	10	4001	2	妮得	[gamername]，别傻愣着，奥利修斯去哪儿了？	1		1			S1000	1	
1061	11	4000	1	[gamername]	我不知道……妮得长官，我想，我们之前的战略，或许是完全错误的……	1		1			S1000	1	
1061	12	4001	2	妮得	现在没时间给你思考，我要你先守住这里的生命之源，直到工程队赶来接手！	1		1			S1000	1	
1062	10	4000	1	[gamername]	奥利修斯！不管生命之源是不是对我们失望，我都不会让你得逞的！	5	5032	1			S1000	1	
1062	11	4001	2	奥利修斯	杂种，你来得太晚了，刚刚生命之源已经给了我力量！	5	5032	1			S1000	0.5	
1062	10	4000	1	[gamername]	留下……生命之源……	4		1			S1000	1	
1062	11	4001	2	奥利修斯	放弃吧，杂种，你已经没有机会求饶了，我会为你默哀的，和这个绝望的星球一起。	4		1			S1000	0.5	
1063	10	4000	1	[gamername]	我们的飞船在哪儿？！快追上去！	1		1			S1000	1	
1063	11	4001	2	妮得	冷静，[gamername]！我们根本不知道目的地在哪！	1		1			S1000	1	
1063	12	4000	1	[gamername]	下一步该怎么办？生命之源已经选择了奥利修斯……	1		1			S1000	1	
1063	13	4001	2	妮得	黑魔导士的生命之源还能坚持一阵子，先清剿剩余的禁军，最重要的是弄清奥利修斯的去向！	1		1			S1000	1	
1066	10	4000	1	[gamername]	你不是奥利修斯的同伴吗？为什么他不带你一起回去？	5	5036	1			S1000	1	
1066	11	4004	2	肉山	同伴？不，我是殿下的忠诚战士，以保护殿下为惟一前提的消耗品！	5	5036	1			S1000	0.5	
1066	10	4004	2	肉山	天空……好美……和故乡的天空……一模一样……	4		1			S1000	0.5	
1066	11	4000	1	[gamername]	这是……通讯器？	2		1			S1000	1	
1066	12	4000	1	[gamername]	指挥官！肉山刚才向一平行世界发送了讯息！就在1109-3982号脉冲星交界处！	2		1			S1000	1	
1066	13	4001	2	妮得	干得漂亮！快把通讯信号传回来！	2		1			S1000	1	
1066	14	4000	1	[gamername]	你不是消耗品，是忠诚的战士，安息吧，我会把你的遗体带回去。	2		1			S1000	1	
1071	10	4001	2	妮得	禁军的目的地是塔图，一个平行世界中的类地行星。	1		1			S1000	1	
1071	11	4000	1	[gamername]	我们该怎么做？	1		1			S1000	1	
1071	12	4001	2	妮得	你到星云大陆去找熊猫酒仙，他是我们的外联长官，他会接管下一步计划。	1		1			S1000	1	
1071	13	4000	1	[gamername]	星云大陆，我好久没回去过了。不知道没有了生命之源，那里的人还是不是安全。	1		1			S1000	1	
1071	14	4001	2	妮得	[gamername]，我知道你有很多疑问，但联军所做的一切，都是为了人类和地球，再会了。	1		1			S1000	1	
1071	15	4000	1	[gamername]	保重，长官！	1		1			S1000	1	
1071	10	4000	1	[gamername]	长官，[gamername]向你报到！	5	5037	1			S1000	1	
1071	11	1011	2	熊猫酒仙	长官？别这么没劲，叫我“酒仙”就行了。	5	5037	1			S1000	1	
1071	12	4000	1	[gamername]	前面怎么这么多魔物？星云大陆不是保留地吗？难道禁军攻破了太极镇？	5	5037	1			S1000	1	
1071	13	1011	2	熊猫酒仙	没有。不过多亏了总部的好计谋，现在没有了生命之源的约束，魔物和害虫一样遍地产卵，占领了整个大陆。	5	5037	1			S1000	1	
1071	14	4000	1	[gamername]	我很抱歉……	5	5037	1			S1000	1	
1071	15	1011	2	熊猫酒仙	你只是他们的小喽啰，道个什么歉？我听说了你在前线的事迹，让我看看你是不是名副其实！	5	5037	1			S1000	1	
1071	10	1011	2	熊猫酒仙	有这种下属，妮得还能把生命之源丢了，难以置信！	4		1			S1000	1	
1071	11	4000	1	[gamername]	具体情况，有点复杂……	4		1			S1000	1	
1071	12	1011	2	熊猫酒仙	有什么复杂？我早就提醒过总部那群人，不要把我们从坟墓里召唤回来。	4		1			S1000	1	
1071	13	1011	2	熊猫酒仙	现在好了，除了我们这些早该死去的尸体，你们谁也指望不上。	4		1			S1000	1	
1071	14	4000	1	[gamername]	酒仙你也是英雄？	4		1			S1000	1	
1071	15	1011	2	熊猫酒仙	没错，难道你在大灾变之后见过其他熊猫？我们这一族早就灭绝了。	4		1			S1000	1	
1072	10	1011	2	熊猫酒仙	塔图在平行世界，我们需要一个穿梭神器——月光宝盒。	1		1			S1000	1	
1072	11	1011	2	熊猫酒仙	你以我的名义向后羿征用一下，不过很可能没什么用，他们家族管事的是嫦娥。	1		1			S1000	1	
1072	10	4000	1	[gamername]	你是后羿？传说中的射日英雄？	3		1			S1000	1	
1072	11	4001	2	后羿	原来还有人记得我，那是很久之前的事情了，现在连老太太都想不起来还有这号人物。	3		1			S1000	1	
1072	12	4000	1	[gamername]	我的意思是，这里全是魔物，你可是昔日的英雄，都不打算清理一下？	3		1			S1000	1	
1072	13	4001	2	后羿	没什么用，你打败了这一拨，还是会有另外一拨冒出来。你只是无用的挥动肱二头肌而已。	3		1			S1000	1	
1072	14	4000	1	[gamername]	小心！	3		1			S1000	1	
1072	10	4001	2	后羿	不管怎么说，还是谢谢你们。不过下次别救我了，反正我是英雄，不会真正死去。	4		1			S1000	1	
1072	11	4000	1	[gamername]	你怎么会这么悲观失望？	4		1			S1000	1	
1072	12	4001	2	后羿	悲观失望？我只是顺其自然。反正生命之源已经没有了，不如等着和这个星球一起毁灭。	4		1			S1000	1	
1072	13	4000	1	[gamername]	我来这里就是为了这件事，月光宝盒能用来追回生命之源，我以熊猫酒仙的名义向你征用它。	4		1			S1000	1	
1072	14	4001	2	后羿	宝盒在我妻子那里，我带你去见她。	4		1			S1000	1	
1073	10	1016	2	嫦娥	抱歉，魔物太多，打得我眼花缭乱，一时失手就……	4		1			S1000	1	
1073	11	4001	2	后羿	我还以为你是借这个来教训我……	4		1			S1000	1	
1073	12	1016	2	嫦娥	教训？你有自知之明就好。比起一个快要毁灭的星球，一个整天坐着等死的丈夫更让人崩溃！	4		1			S1000	1	
1073	13	4000	1	[gamername]	请问月光宝盒在哪里？	4		1			S1000	1	
1073	14	1016	2	嫦娥	月光宝盒本来是齐天大圣孙悟空的所有物，他回到这个世界以后，我就把东西还给了他。	4		1			S1000	1	
1074	10	1016	2	嫦娥	你觉得你们有希望夺回生命之源吗？虽然我丈夫有点过分，但他的担心不无道理。	1		1			S1000	1	
1074	11	4000	1	[gamername]	我不能肯定，但是如果什么都不去做，一切都无法改变。	1		1			S1000	1	
1074	12	4000	1	[gamername]	不，我虽然不能肯定，但我总觉得之前也面临过这种情况……放心吧，生命之源会宽恕我们的。	1		1			S1000	1	
1074	10	4001	2	冰女罗娜	我好像在哪里见过你。	5	5040	1			S1000	1	
1074	11	4000	1	[gamername]	美女，你用的搭讪方式也太古老了。	5	5040	1			S1000	1	
1074	10	4001	2	冰女罗娜	不，不是搭讪。我想起来了，是在极光之殿，你的样子，和极光之神阿加赫一摸一样！	4		1			S1000	1	
1074	11	4000	1	[gamername]	只要我一到北方，就一定会被这么说。这个极光之神到底是谁？	4		1			S1000	1	
1074	12	4001	2	冰女罗娜	是我们海滨王国信奉的真神。他和夜神诺克斯，以及海神波塞冬一起，创造并维护了整个世界。	4		1			S1000	1	
1074	13	4000	1	[gamername]	夜神诺克斯？喂，黑魔导士，原来你的前世是创世之神！如果这个世界毁灭了，你就不能想点办法再创造一个吗？	4		1			S1000	1	
1074	14	1015	2	黑魔导士	别开玩笑，这是真的。我能隐约感应到夜神诺克斯的记忆，我也能感受到他的愤怒。他对这个世界……很失望。	4		1			S1000	1	
1074	15	4000	1	[gamername]	所以你第一次见面却和我说“好久不见”，是因为我长得像极光之神？	4		1			S1000	1	
1074	16	1015	2	黑魔导士	大概吧。你和极光之神，就像是世界上肯定不会有的，两片完全相同的叶子。	4		1			S1000	1	
1074	17	4000	1	[gamername]	……	4		1			S1000	1	
1075	10	4001	2	孙悟空	在拿到我的月光宝盒之前，必须清楚一件事，有些东西即使夺了回来，也可能不是你的。	5	5041	1			S1000	1	
1075	11	4000	1	[gamername]	我知道，或者说我也很担心。但是如果不试一试，就永远不会知道。	5	5041	1			S1000	1	
1076	10	4001	2	孙悟空	很好，月光宝盒现在是你的了，但我还需要你做一件事。	1		1			S1000	1	
1076	10	4001	2	孙悟空	这是我的同门佛寂，因为净化魔物太多，反而被魔物反噬了。	5	5042	1			S1000	1	
1076	11	4001	2	孙悟空	我找不到办法净化他，希望你能试一试。	5	5042	1			S1000	1	
1076	12	4000	1	[gamername]	试一试是可以，但我从没有净化过，我只能保证不伤害他。	5	5042	1			S1000	1	
1076	10	4001	2	佛寂	悟空，他居然净化成功了。	4		1			S1000	1	
1076	11	4001	2	孙悟空	我知道，这件事情以前只有佛祖能办到。难道他不是普通人？	4		1			S1000	1	
1076	12	4001	2	佛寂	我们要把这件事告诉他吗？	4		1			S1000	1	
1076	13	4001	2	孙悟空	不必了，我们是出家人，没有必要管凡间的事，这个星球的命运，让星球自己决定吧。	4		1			S1000	1	
1081	10	1011	2	熊猫酒仙	是我的错觉还是军舰真的一动没动？月光宝盒失灵了？	1		1			S1000	1	
1081	11	4001	2	孙悟空	恐怕这里的人数已经超过了月光宝盒能够承载的量。	1		1			S1000	1	
1081	12	1011	2	熊猫酒仙	这玩意儿也有承载上限？开什么玩笑，我可有一整个军团要送过去！	1		1			S1000	1	
1081	13	4001	2	孙悟空	我记得有一种魔法容器[f3466e]四象[-]。四象能融合成结界。	1		1			S1000	1	
1081	14	4001	2	孙悟空	结界闭合后非常小，但是张开时的装载量几乎是无限的。	1		1			S1000	1	
1081	15	4000	1	[gamername]	这玩意儿要去哪里找？	1		1			S1000	1	
1081	16	4001	2	孙悟空	四象分为四部分，散落在星云大陆。我只能肯定其中一象[f3466e]朱雀[-]，在雷震子手里。 	1		1			S1000	1	
1082	10	4001	2	孙悟空	我想起还有一象叫玄武，属于廖山的神牛一族，他们和熵洲的神牛一族，同根不同源。	1		1			S1000	1	
1083	10	4000	1	[gamername]	听说你手上有玄武，我们需要它来拯救地球，请帮助我们。	1		1			S1000	1	
1083	11	1014	2	神牛	事实上，禁军也来找过玄武，为了保护它，我们整个家族几乎全灭。	1		1			S1000	1	
1083	12	1014	2	神牛	我可以简简单单把玄武给你，但是我的家族不会容忍这种做法。	1		1			S1000	1	
1083	13	4000	1	[gamername]	我明白你的意思，我会打败你，然后拿到玄武。	1		1			S1000	1	
1083	10	4000	1	[gamername]	神牛，多谢你！	4		1			S1000	1	
1083	11	1014	2	神牛	也多谢你，没有贬低我的荣耀。	4		1			S1000	1	
1083	12	4000	1	[gamername]	禁军为什么想得到四象？	4		1			S1000	1	
1083	13	1014	2	神牛	不是很清楚，似乎他们要把地球的植物带回去，听起来无害，但我们认为有另外的阴谋。	4		1			S1000	1	
1083	14	4000	1	[gamername]	你们做的是对的。放心吧，神牛。你族人的牺牲并不是毫无意义的。这个星球还没有完全结束。	4		1			S1000	1	
1084	10	1014	2	神牛	还有，我的族人说，猪八戒手上有青龙，因为他不是正统的持有者，所以我记得很清楚。	1		1			S1000	1	
1084	11	4000	1	[gamername]	很好，多谢你的信息！	1		1			S1000	1	
1085	11	4000	1	[gamername]	青龙你是怎么得到的？我听说你不是正统的持有者。	4		1			S1000	1	
1085	12	4001	2	猪八戒	俺大舅老爷的牌友，在机甲站附近捡到的。	4		1			S1000	1	
1085	13	4001	2	猪八戒	那边有几个神神秘秘的石墩，砸开后有宝贝。	4		1			S1000	1	
1086	10	1010	2	剑豪	放逐之刃，我嗜血的朋友，这么久不见，你还是老样子。	1		1			S1000	1	
1086	11	1008	2	瑞雯	我没有朋友。	1		1			S1000	1	
1086	12	1010	2	剑豪	你当然没有。说实话，我很奇怪你为什么还乐意替他们卖命。	1		1			S1000	1	
1086	13	1010	2	剑豪	你也是超级英雄，你的魔导柱已经快消耗完了吧。囚禁你的牢笼很快就要打开。	1		1			S1000	1	
1086	14	1008	2	瑞雯	根本就没有牢笼，要杀你们是我自己的意志。	1		1			S1000	1	
1086	15	1010	2	剑豪	是吗？你还对这群出卖了生命之源的人类抱有信心？	1		1			S1000	1	
1086	16	1010	2	剑豪	奥斯维尔宁愿牺牲你保护自己，你还没看清人类的堕落？	1		1			S1000	1	
1086	17	1008	2	瑞雯	我看清了你的堕落，不要阻挡我们！	1		1			S1000	1	
1086	10	4000	1	[gamername]	刚刚他说的是真的？奥斯维尔牺牲了你？	3		1			S1000	1	
1086	11	1008	2	瑞雯	那只是战术，而且我是英雄，你知道，我不会真正消失。	3		1			S1000	1	
1086	12	4000	1	[gamername]	对不起。	3		1			S1000	1	
1086	13	1008	2	瑞雯	你为什么道歉？	3		1			S1000	1	
1086	14	4000	1	[gamername]	奥斯维尔不该这样对你。对我来说，你们是同伴，而不是可以消耗掉的武器。	3		1			S1000	1	
1086	10	4001	2	孙悟空	[gamername]，记住月光宝盒的映射只能有一条，过去之后必须保持映射才能安全返回！	2		1			S1000	1	
1086	11	1011	2	熊猫酒仙	你已经强调了3遍了！不想被军舰碾压的话就赶快闪开！	2		1			S1000	1	
1091	10	4000	1	[gamername]	这是平行世界？感觉完全没挪过位置！	3		1			S1000	1	
1091	11	1011	2	熊猫酒仙	错不了，你忘记教科书上平行世界的定义了？这个世界和我们的世界只有一些微妙的差别。	3		1			S1000	1	
1091	12	4000	1	[gamername]	喂，那不会是恐龙吧？快闪开！	3		1			S1000	1	
1091	13	1011	2	熊猫酒仙	……有时候也会有巨大的差别。	3		1			S1000	1	
1092	10	1011	2	熊猫酒仙	这里是建造通讯塔的绝佳地点，在塔建好之前，你必须守住这里。	1		1			S1000	1	
1092	11	4000	1	[gamername]	是，长官！	1		1			S1000	1	
1093	10	1011	2	熊猫酒仙	[46f1f3]蛮荒林地[-]侦测到了一个直径1公里的大坑，如果没猜错，那就是禁军的着陆点。	1		1			S1000	1	
1093	11	1011	2	熊猫酒仙	我要你查看一下，如果发现那些家伙，别惊动他们，听我指示。	1		1			S1000	1	
1094	10	4000	1	[gamername]	没有禁军，但是这里有一座建筑，这种精美程度，不像是野蛮生物建造的。	1		1			S1000	1	
1094	11	1011	2	熊猫酒仙	确实可疑，有必要搜查下去！	1		1			S1000	1	
1095	10	4000	1	[gamername]	酒仙，这里有疑似禁军遗留的壁画，但没有他们的影子！	1		1			S1000	1	
1095	10	1011	2	熊猫酒仙	开什么玩笑！你之前传回来的红外图像里，明明有形状像禁军的家伙。十一点钟方向，坏掉的穹顶下方。	1		1			S1000	1	
1095	11	4000	1	[gamername]	……我再确认一遍。	1		1			S1000	1	
1095	10	4000	1	[gamername]	不过是普通的龙人而已……白费力气！	4		1			S1000	1	
1095	11	4001	2	龙人法师	噶西甲，咕噜，阿玫！	4		1			S1000	0.5	
1095	12	4000	1	[gamername]	噶西甲……怎么这么熟悉？慢着，好像是禁军自称……	4		1			S1000	1	
1095	13	4001	2	龙人法师	色碧昂，萨利！色碧昂，萨利！	4		1			S1000	0.5	
1095	14	4000	1	[gamername]	啊，到底在说什么！早知道在学院里就该好好学习外语了！	4		1			S1000	1	
1096	10	4000	1	[gamername]	基地，请求翻译！这些半龙半人的家伙在说禁军语。	1		1			S1000	1	
1096	11	1011	2	熊猫酒仙	你的通讯器上有个红色按钮，那是翻译按钮，按下去就能和他们对话了。	1		1			S1000	1	
1096	12	4000	1	[gamername]	不会吧？我一直认为那是紧急情况下，用来和敌人同归于尽的自爆按钮。	1		1			S1000	1	
1096	13	1011	2	熊猫酒仙	别瞎想，到时候我们会直接投原子弹的。比起这个，军队里有不懂禁军语的家伙才是紧急事态！	1		1			S1000	1	
1096	14	4000	1	[gamername]	……	1		1			S1000	1	
1096	10	4001	2	史矛革	四条腿的家伙，是禁军！看这细胳膊小腿，啧啧，是他们的小崽子！	5	5054	1			S1000	0.5	
1096	11	4000	1	[gamername]	我不是禁军，我是人类。禁军在哪里？和你们什么关系？	5	5054	1			S1000	1	
1096	12	4001	2	史矛革	装什么蒜，小崽子。我要把你撕碎，然后一点一点慢慢吃掉！	5	5054	1			S1000	0.5	
1096	13	4000	1	[gamername]	从那硕大无朋的爪子来看，要干这么细致的活儿真是为难你了！	5	5054	1			S1000	1	
1096	10	4001	2	史矛革	吼！狡猾的禁军崽子！	4		1			S1000	0.5	
1096	11	4000	1	[gamername]	你听不懂人话吗？不是所有有四肢的都叫禁军！	4		1			S1000	1	
1096	12	4001	2	史矛革	别耍花招，你们看起来没什么差别！	4		1			S1000	0.5	
1096	13	4001	2	史矛革	细细的四肢，大大的脑袋，浑身带着闪光的装备——装备——嗯？你不是禁军！	4		1			S1000	0.5	
1096	14	4000	1	[gamername]	呃……智商堪忧……	4		1			S1000	1	
1096	10	4001	2	史矛革	要找禁军，去那边的[46f1f3]古方尖塔[-]找。	2		1			S1000	0.5	
1096	11	4001	2	史矛革	哈哈哈，悠着点，他们都是和你一样的小不点，但会变着法儿折磨人！	2		1			S1000	0.5	
1102	10	4001	2	史瓦娜	你不是禁军，禁军会直接虐杀我们，一个不留。你到底是谁？！	4		1			S1000	1	
1102	11	4000	1	[gamername]	终于有人明白了！听着，我们是地球人，对你们没有恶意。	4		1			S1000	1	
1102	12	4000	1	[gamername]	我知道禁军就在这个星球上，请帮我找到他们！他们夺走了我们星球至关重要的生命之源！	4		1			S1000	1	
1102	13	4001	2	史瓦娜	我明白了。我们这里和你们的星球一样，也是禁军的殖民地。我们也对禁军深恶痛绝。	4		1			S1000	1	
1102	14	4000	1	[gamername]	很好！我们可以联手对抗禁军！	4		1			S1000	1	
1102	15	4001	2	史瓦娜	地球人都像你这么单纯吗？事情没有那么简单。我建议你先说服我们的首领图巴大人。	4		1			S1000	1	
1102	16	4001	2	史瓦娜	他是寄托了我们所有龙人期待的新领袖，就在这古方宫的顶层。	4		1			S1000	1	
1103	10	4001	2	阿尔法师	图巴这软蛋，上次居然和禁军握手言和，根本不配作为龙人族的领袖！	5	1570	1			S1000	0.5	
1103	11	4001	2	阿尔法师	英勇果断的图灵才是真正的王者！	5	1570	1			S1000	0.5	
1103	12	4001	2	贝塔法师	放心，行动顺利的话，图巴就能寿终正寝了！	5	1570	1			S1000	0.5	
1103	13	4001	2	史瓦娜	可恶，是暗杀图巴大人的刺客，在这里待着等我！	5	1570	1			S1000	1	
1103	10	4001	2	史瓦娜	不是说过了在那里等着我吗？	4		1			S1000	1	
1103	11	4000	1	[gamername]	让我坐在那里看一个女孩子被揍？我可做不到。	4		1			S1000	1	
1103	12	4001	2	史瓦娜	你们最好记住一点，图巴大人和禁军暂时停战，完全是为了保护你们这些不知羞耻的家伙！	4		1			S1000	1	
1103	13	4000	1	[gamername]	……	4		1			S1000	1	
1105	10	4001	2	莫泰法师	史瓦娜，我以图灵伯爵的名义逮捕你！	1		1			S1000	0.5	
1105	11	4001	2	史瓦娜	什么罪名？	1		1			S1000	1	
1105	12	4001	2	莫泰法师	你这个叛徒还没有自知之明吗？“勾结外星人”这一条，就足够你终身监禁了！	1		1			S1000	0.5	
1105	13	4000	1	[gamername]	可恶，我虽然是外星人，但对你们无害，快放了史瓦娜！	1		1			S1000	1	
1105	14	4001	2	史瓦娜	别和他们硬拼，这是图灵伯爵，也就是图巴大人叔叔——的手下。	1		1			S1000	1	
1105	15	4000	1	[gamername]	真的想救我，就去第13层的逆鳞监狱。	1		1			S1000	1	
1105	10	4001	2	史瓦娜	多谢，地球人。	4		1			S1000	1	
1105	11	4000	1	[gamername]	不，你是因为我而入狱的，我才是应该抱歉的那个人。	4		1			S1000	1	
1106	10	4000	1	[gamername]	这是……	1		1			S1000	1	
1106	11	4001	2	史瓦娜	你之前也看到了，前面有很多刺客和叛徒，这是用来保护图巴大人的境界之门。	1		1			S1000	1	
1106	10	4001	2	史瓦娜	殿下，这个地球人是前来寻求合作的。他们的星球也遭到了禁军的袭击。	5	5060	1			S1000	1	
1106	11	4001	1	首领图巴	外星人？合作？史瓦娜，醒醒吧！	5	5060	1			S1000	0.5	
1106	12	4001	2	史瓦娜	他们的目标是禁军，对我们没有恶意。而且我能肯定，这个人一定有实力打败禁军！	5	5060	1			S1000	1	
1106	13	4001	1	首领图巴	凭借他一个人的力量？史瓦娜对你评价这么高，让我很好奇。介意和我交手吗？	5	5060	1			S1000	0.5	
1106	14	4000	1	[gamername]	当然不。	5	5060	1			S1000	1	
1106	10	4001	2	首领图巴	你的确很强大，而且有我们龙人所缺乏的勇气，我会试着相信你！	4		1			S1000	0.5	
1106	11	4000	1	[gamername]	我不会让你失望！	4		1			S1000	1	
1111	10	4001	2	首领图巴	这是角牌，拿着这个去前线，我的人会帮你寻找禁军。	1		1			S1000	0.5	
1111	11	4001	2	守卫队长	外星人，你的事情我已经知道了。禁军和我们暂时没有接触，不过我会想办法帮你找到他们。	3		1			S1000	1	
1111	12	4000	1	[gamername]	请让我加入守卫队，我和禁军交过手，知道怎么对付他们！	3		1			S1000	1	
1111	13	4001	2	守卫队长	守卫队可不是童子军，不是对所有人都开放，先让我试试！	3		1			S1000	1	
1111	10	4001	2	守卫队长	还真有两把刷子，只可惜你们不是龙人！	4		1			S1000	1	
1111	11	4000	1	[gamername]	相信我吧队长！我想制裁禁军的决心，比你们更加强烈！	4		1			S1000	1	
1113	10	4000	1	[gamername]	这些建筑很像我们地球上的金字塔。	1		1			S1000	1	
1113	11	4001	2	守卫队长	是吗？那不是我们的传统建筑，是在禁军的指导下建造的。	1		1			S1000	1	
1113	12	4001	2	守卫队长	平时是禁地，不准龙人进去。之前和他们签停战协议的时候，我去过一回。	1		1			S1000	1	
1113	13	4000	1	[gamername]	那就是禁军的地盘了！我过去查探一下！	1		1			S1000	1	
1113	14	4001	2	守卫队长	别冲动，如果我们硬闯，就算单方面开战！	1		1			S1000	1	
1113	15	4000	1	[gamername]	放心，我们单独过去，和龙人无关。	1		1			S1000	1	
1113	10	4000	1	[gamername]	原来这里有个地下宫殿！	3		1			S1000	1	
1113	11	4001	2	史瓦娜	真奇怪，只有我们龙人才会建造地下宫殿，因为我们喜欢潮湿阴暗的环境。	3		1			S1000	1	
1114	11	4001	2	圣堂武士	禁军一直希望和你们龙人和平相处，人类才是你们的敌人！	5	5064	1			S1000	1	
1114	12	4001	2	龙人精英兵	那是，那是，我们和禁军大人合作了这么久，哪有胳膊肘往外拐的道理？	5	5064	1			S1000	0.5	
1114	10	4000	1	[gamername]	你是禁军的人？！其他禁军在哪里？	4		1			S1000	1	
1114	11	4001	2	圣堂武士	我只是禁军的和平使者，真正和禁军交涉的，是傀儡王图灵。	4		1			S1000	1	
1114	12	4000	1	[gamername]	图巴的叔叔？那两个刺客和绑架者的主人？他在哪里？	4		1			S1000	1	
1114	13	4001	2	圣堂武士	只要你们善待我，我就带你们过去。	4		1			S1000	1	
1114	12	4000	1	[gamername]	当然，优待俘虏是我们的优良传统。	4		1			S1000	1	
1115	10	4001	2	史瓦娜	图灵？原来是你！上次刺杀图巴大人的刺客，也是你的手下！	5	5065	1			S1000	1	
1115	11	4001	2	图灵	刺杀？那是制裁！我是图巴的叔叔，我才是龙人族正统的首领！	5	5065	1			S1000	0.5	
1115	12	4001	2	史瓦娜	就算你对图巴大人不满，也不应该和禁军勾结！	5	5065	1			S1000	1	
1115	13	4001	2	图灵	哦，闭嘴吧！背叛者史瓦娜！	5	5065	1			S1000	0.5	
1115	10	4001	2	图灵	手下留情！我只是受了禁军的蛊惑！现在我只想好好辅佐图巴大人！	4		1			S1000	0.5	
1115	11	4001	2	史瓦娜	现在知道求饶了？别着急，图巴大人会公正裁决你的！	4		1			S1000	1	
1115	12	4000	1	[gamername]	和你交涉的禁军在哪里？	4		1			S1000	1	
1115	13	4001	2	图灵	他们在红场的发射场，补给准备好了，他们正准备出发！	4		1			S1000	0.5	
1115	14	4000	1	[gamername]	别心存侥幸，我回来后，会代替图巴好好制裁你！	4		1			S1000	1	
1116	10	4001	2	奥利修斯	哦？傀儡王竟然没有拖住你，看来你变强大了！人类杂种！	5	5066	1			S1000	0.5	
1116	11	4000	1	[gamername]	我本来就很强！你这么躲着我，难道害怕了？	5	5066	1			S1000	1	
1116	12	4001	2	奥利修斯	哈哈，害怕？狂妄的人类，有人教过你怎么下跪求饶吗！	5	5066	1			S1000	0.5	
1116	10	4000	1	[gamername]	这压迫感，令人无法呼吸！	4		1			S1000	1	
1116	11	4001	2	龙人法师	禀报殿下，幽灵之船已经启动！	4		1			S1000	0.5	
1116	12	4001	2	奥利修斯	你的命，先赏给你了！下次交手，我会把它一点一点从你身上榨出来。	4		1			S1000	0.5	
1116	13	4000	1	[gamername]	可恶！	4		1			S1000	1	
1116	14	1008	2	瑞雯	刚刚我在船舷上粘了追踪器，基地应该能追踪到他们的去向。	2		1			S1000	1	
1116	15	4000	1	[gamername]	真不知道没有你我们该怎么办，瑞雯！	2		1			S1000	1	
1121	10	1011	2	熊猫酒仙	我定位了瑞雯的追踪器，他们在[46f1f3]盖亚星[-]。只是要穿越过去，必须找到像月光宝盒一样的神器才行。	1		1			S1000	1	
1121	11	4000	1	[gamername]	为什么不能直接用月光宝盒？	1		1			S1000	1	
1121	12	1011	2	熊猫酒仙	你忘了齐天大圣说的？宝盒要用来维持地球到塔图星的[f3466e]映射[-]，不然我们就再也回不去了。	1		1			S1000	1	
1121	13	4001	2	史瓦娜	禁军还有一些精锐部队留在虫族基地，他们一定有类似的神器，可以用来穿越。	1		1			S1000	1	
1121	10	4001	2	史瓦娜	这里就是虫族的腹地，虫族很警觉，天生嗜杀，你最好和我们一起行动。	3		1			S1000	1	
1122	10	4000	2	[gamername]	该死！这些虫子简直没完没了！	4		1			S1000	1	
1122	11	4001	2	史瓦娜	我们和虫族正在交战，看来它们也把你们当作我们的战友了。	4		1			S1000	1	
1122	12	4000	2	[gamername]	我不想把他们当成敌人都很难！	4		1			S1000	1	
1122	12	4000	1	[gamername]	后援的虫子都来自那个巢穴，有必要去查看一下！	1		1			S1000	1	
1122	13	4001	2	史瓦娜	好，我会派援军为你殿后。	1		1			S1000	1	
1122	10	4000	1	[gamername]	虫族的蛋……么？一出生就进入战场，不愧是战斗种族。	4		1			S1000	1	
1123	10	4001	2	史瓦娜	我派去的援军不见了，他们最后出现的地方是母虫寝室，你去查探一下！	1		1			S1000	1	
1123	11	4000	1	[gamername]	切！不能让他们因为我而牺牲！	1		1			S1000	1	
1123	10	4000	1	[gamername]	你没事吧？其他人呢？	4		1			S1000	1	
1123	11	4001	2	龙人方谷	他们……被几只大虫子掳走了……在蓝月矿……	4		1			S1000	0.5	
1123	12	4000	1	[gamername]	放心，我一定会救出他们。	4		1			S1000	1	
1124	10	4001	2	史瓦娜	蓝月矿？那里资源丰富，曾经是禁军的补给点。	1		1			S1000	1	
1124	11	4001	2	史瓦娜	为什么虫族要去那种地方，资源对他们而言根本就没有意义。	1		1			S1000	1	
1124	12	4001	2	史瓦娜	我有种不好的预感！	1		1			S1000	1	
1124	13	4000	1	[gamername]	没关系，我会救出他们的！	1		1			S1000	1	
1124	10	4000	1	[gamername]	这是龙人的通讯器！！难道！！	4		1			S1000	1	
1124	11	4001	2	龙人方谷	快救我……我是首领殿下的亲卫队……编号8731……	4		1			S1000	0.5	
1124	12	4000	1	[gamername]	这难道……被融合了？！糟糕！！我……我该怎么救你？！	4		1			S1000	1	
1124	13	4001	2	龙人方谷	图巴……大人……我……尽力了……	4		1			S1000	0.5	
1124	14	4000	1	[gamername]	不！醒醒！	4		1			S1000	1	
1125	10	4000	1	[gamername]	抱歉，我没能救出那些被寄生的同伴……	1		1			S1000	1	
1125	11	4001	2	史瓦娜	这只是意外。我们和虫族交战多年，也不知道他们可以融合……	1		1			S1000	1	
1125	12	4001	2	史瓦娜	里面就是诺加格了，那是虫族的大本营，以前我们从没深入到这里。	1		1			S1000	1	
1125	13	4000	1	[gamername]	那如果有神器的话，应该就在这里了。带着那些同伴的份，我们一起查探下去！	1		1			S1000	1	
